Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88310670899955,18.88310670899955,18.88310670899955,18.88310670899955,18.88310670899955,18.88310670899955,18.88310670899955,18.88310670899955,0.003045541998289991,23.234471458999906,3.0,1.5895521659986116,2.0,2.2602097499984666,2.0,3.5405461249974906,2.0108873162765377,4.379057375001139,-0.006843455945252352,-0.393071000855432,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.706996875000186,23.706996875000186,space,0.6810505839966936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.412016542002675,24.412016542002675,space,0.32692154200049117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.755677624998498,24.755677624998498,space,0.4412878750008531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,25.211961084001814,space,0.5225890410001739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,59.45474258399918,right,0.5073397499945713,25.75014433400065,27.76812545899884,27.76812545899884,44.73822779200418,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,45.06854391700472,right,0,2.434206083002209,47.53694987500057,47.53694987500057,47.53694987500057,47.53694987500057,47.53694987500057,47.53694987500057,47.53694987500057,47.53694987500057,48.02169583400246,48.02169583400246,48.05327616700379,49.50542312500329,49.50542312500329,47.05570929199894,49.570269499999995,49.570269499999995,49.570269499999995,0.01845116700133076,49.570269499999995,49.570269499999995,0.0,4.982936415995937,"[0.001710863986313088, 0.0025662959794696323, 0.41317365269461076, 0.42172797262617623]","[0.0012831479897348161, -0.2946963216424294, -0.3143712574850299, -0.3023952095808383]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[4.885321624999051, 5.9396597079976345, 6.681011624998064, 7.134911458000715]",['validate'],0.5256629597946963,6.04368925000017,56.66590800000267,56.66590800000267,space,0.7712657079973724,57.44841529200494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.980861250005546,61.99783891699917,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,62.32969791700452,right,0,0.3398932499985676,62.704492417004076,62.704492417004076,62.704492417004076,62.704492417004076,62.704492417004076,62.704492417004076,62.704492417004076,62.704492417004076,63.18830970900308,63.18830970900308,63.22098983400065,64.6669789170046,64.6669789170046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.68772387500212,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,65.06607333400461,right,0,0.33746891700138804,65.43609558400203,65.43609558400203,65.43609558400203,65.43609558400203,65.43609558400203,65.43609558400203,65.43609558400203,65.43609558400203,65.94403237500228,65.94403237500228,65.97525391700037,67.40891633400315,67.40891633400315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.41304091700295,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,67.78441904200008,right,0,0.36077791600109776,68.17373862500244,68.17373862500244,68.17373862500244,68.17373862500244,68.17373862500244,68.17373862500244,68.17373862500244,68.17373862500244,68.66837495900108,68.66837495900108,68.69955133400072,70.13449041700369,70.13449041700369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.17792712500523,70.17792712500523,70.17792712500523,0.004301583998312708,70.17792712500523,70.17792712500523,0.0,0.9681812080016243,"[-0.001710863986313088, 0.05303678357570573, 0.3635585970915312]","[-0.00213857998289136, -0.28699743370402053, -0.3075278015397776]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.8849707080007647, 1.603578499998548, 2.8542346250033006]",['validate'],1,1.710744624993822,73.01046745900385,73.01046745900385,space,9.872146624999004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060182,001,A,2023-07-05_17h52.59.730,vb_task_exp_1,2022.2.5,None,
