Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.155945165985031,12.155945165985031,12.155945165985031,12.155945165985031,12.155945165985031,12.155945165985031,12.155945165985031,12.155945165985031,0.0023783340002410114,22.635617166000884,3.0,6.785116833023494,2.0,8.393998291983735,3.0,9.368587083998136,2.020366598778004,10.501285540987737,0.031568228105906315,-0.384928716904277,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.55872229099623,23.55872229099623,space,1.5480832080065738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.140955374983605,25.140955374983605,space,0.09386533300857991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.266892540996196,25.266892540996196,space,0.35156029101926833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,25.641602374991635,space,0.7411272909957916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,40.6583586249908,space,1.3728237499890383,26.39115650000167,28.41932029099553,30.398180290998425,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,30.770888040977297,left,0,1.6225856250093784,32.43827762498404,32.43827762498404,32.43827762498404,32.43827762498404,32.43827762498404,32.43827762498404,32.43827762498404,32.43827762498404,32.92023129097652,32.92023129097652,32.969654540997,34.38522316599847,34.38522316599847,34.44464070798131,34.44464070798131,34.44464070798131,0.012773499998729676,34.44464070798131,34.44464070798131,0.0,2.2547164169955067,"[-0.017311608961303463, 0.3665987780040733]","[-0.010183299389002037, -0.29633401221995925]","[1, 1]","[0, 0]","[0, 0]","[2.1594461250060704, 3.185886791005032]",['validate'],None,None,37.60028533299919,37.60028533299919,space,1.0482270829961635,38.661106249986915,40.6583586249908,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.048302207986126,44.05183537499397,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,44.44320224999683,left,0,0.5250489579921123,44.99764854100067,44.99764854100067,44.99764854100067,44.99764854100067,44.99764854100067,44.99764854100067,44.99764854100067,44.99764854100067,45.499708957999246,45.499708957999246,45.524634207977215,46.965604500001064,46.965604500001064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.98693887499394,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,47.30691033299081,right,0,0.31582262500887737,47.657977374998154,47.657977374998154,47.657977374998154,47.657977374998154,47.657977374998154,47.657977374998154,47.657977374998154,47.657977374998154,48.14630962497904,48.14630962497904,48.17101116597769,49.625422707991675,49.625422707991675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.64665016598883,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,50.00751966598909,left,0,0.22553566700662486,50.27154575000168,50.27154575000168,50.27154575000168,50.27154575000168,50.27154575000168,50.27154575000168,50.27154575000168,50.27154575000168,50.77561612499994,50.77561612499994,50.800595457985764,52.232493332994636,52.232493332994636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.285218000004534,52.285218000004534,52.285218000004534,0.017582166998181492,52.285218000004534,52.285218000004534,0.0,1.3765424999874085,"[0.015274949083503055, 0.03767820773930754, 0.3879837067209776]","[0.0274949083503055, -0.3014256619144603, -0.3024439918533605]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.2812023749866057, 1.9533980419801082, 2.7285815829818603]",['validate'],0.8767820773930753,2.012932042009197,54.99709579098271,54.99709579098271,space,1.1542900839995127,,,,,,,,,,,,,090286,001,A,2023-04-14_14h44.38.171,vb_task_exp_1,2022.2.5,None,
