Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.879569332995743,12.879569332995743,space,1.085797209001612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.986674416999449,13.986674416999449,space,0.25847525000426685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.251844957994763,14.251844957994763,space,0.29402258400659775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,14.56198887500068,space,0.32449020900094183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,27.22233087499626,space,0.6980420000036247,14.894858583000314,16.904397124999377,16.904397124999377,18.901420957998198,18.901420957998198,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,19.230524207996496,right,0,0.5062853330018697,19.78781437499856,19.78781437499856,19.78781437499856,19.78781437499856,19.78781437499856,19.78781437499856,19.78781437499856,19.78781437499856,20.260885042000154,20.260885042000154,20.314907916996162,21.80374079199828,21.80374079199828,21.80374079199828,0.0168398329988122,21.80374079199828,21.80374079199828,1.0,1.478210000001127,"[0.04961505560307956, 0.05303678357570573, 0.4482463644140291]","[0.016680923866552608, -0.3135158254918734, -0.3023952095808383]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.3997582089941716, 2.0564746249947348, 2.8056532089976827]",['validate'],1,2.119582541999989,24.57367237500148,24.57367237500148,space,0.6401621250042808,25.228625374998956,27.22233087499626,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,- 0.2)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.94204974999593,,29.948698916996364,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,30.275523332995363,left,0,1.3795001250036876,31.690713332995074,31.690713332995074,31.690713332995074,31.690713332995074,31.690713332995074,31.690713332995074,31.690713332995074,31.690713332995074,32.169914332996996,32.169914332996996,32.22443670799839,,,,,,,,,,,,,,,,,,,,,,,,33.65380916700087,33.65380916700087,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,- 0.2)",,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.66283837499941,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,34.0005706669981,right,0,4.014083625006606,38.045668457998545,38.045668457998545,38.045668457998545,38.045668457998545,38.045668457998545,38.045668457998545,38.045668457998545,38.045668457998545,38.53308783299872,38.53308783299872,38.559903332999966,,,,,,,,,,,,,,,,,,,,,,,,,,35.97675612499734,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,- 0.2)",,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.02283033300046,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,40.34797683299985,right,0,7.742121415998554,48.118453791998036,48.118453791998036,48.118453791998036,48.118453791998036,48.118453791998036,48.118453791998036,48.118453791998036,48.118453791998036,48.60342345800018,48.60342345800018,48.629974625000614,,,,,,,,,,,,,,,,,,,,,,,,50.09261958299612,50.09261958299612,42.332517791997816,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.124044457996206,50.124044457996206,50.124044457996206,0.01046604200382717,50.124044457996206,50.124044457996206,1.0,1.687673000000359,"[0.0427715996578272, 0.058169375534645, 0.04704875962360992, 0.3627031650983747]","[0.000427715996578272, -0.29897348160821213, -0.29555175363558595, -0.29897348160821213]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.5894243750008172, 2.214812375001202, 3.0548123749977094, 3.681029083003523]",['validate'],0.9704875962360993,3.1396103329971083,53.78848624999955,53.78848624999955,space,2.4069112090001,,,,,,,,,,,,,,,,,,,135113,001,A,2023-07-04_15h34.51.166,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.556687541997235,,59.56303420799668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,56.24887020800088,space,1.2843120840043412,1,,,,,,,,
