Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.965884999997797,9.965884999997797,space,0.6487212080028257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.636745416995836,10.636745416995836,space,0.13118916600069497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.790782832998957,10.790782832998957,space,0.13187712500075577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,10.94281370799581,space,0.3557571250057663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,23.44500879199768,left,0.6213810840054066,11.309520374998101,13.328527541998483,13.328527541998483,15.33720883299975,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,15.675748749999912,right,0,0.055656541997450404,15.775051042000996,15.775051042000996,15.775051042000996,15.775051042000996,15.775051042000996,15.775051042000996,15.775051042000996,15.775051042000996,16.249342541996157,16.249342541996157,16.30592779199651,17.720910791998904,17.720910791998904,17.797037874996022,17.797037874996022,17.797037874996022,0.022764000001188833,17.797037874996022,17.797037874996022,1.0,1.30256108300091,"[0.06501283147989735, 0.06330196749358426, 0.05303678357570573, 0.3515825491873396]","[0.014970059880239521, -0.3143712574850299, -0.3100940975192472, -0.28956372968349015]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.2214707910025027, 1.9890513749996899, 2.351808958002948, 2.9520447079994483]",['validate'],1,2.480846250000468,20.714808249998896,20.714808249998896,space,0.714535999999498,21.440432582996436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.086510542001633,26.088462916995923,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,26.418740458000684,left,0,0.4060809579968918,26.85774791699805,26.85774791699805,26.85774791699805,26.85774791699805,26.85774791699805,26.85774791699805,26.85774791699805,26.85774791699805,27.347543332994974,27.347543332994974,27.37452666700119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.83583833299781,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,29.166455207996478,left,0,0.374362625007052,29.573028291997616,29.573028291997616,29.573028291997616,29.573028291997616,29.573028291997616,29.573028291997616,29.573028291997616,29.573028291997616,30.064499041996896,30.064499041996896,30.091228083001624,31.536184500000672,31.536184500000672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.548550749997958,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,31.8878527919951,right,0,0.5974637920007808,32.51440474999981,32.51440474999981,32.51440474999981,32.51440474999981,32.51440474999981,32.51440474999981,32.51440474999981,32.51440474999981,33.00416316699557,33.00416316699557,33.03100883300067,34.49120166699868,34.49120166699868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.515696249996836,34.515696249996836,34.515696249996836,0.006352083997626323,34.515696249996836,34.515696249996836,0.0,1.2800852920045145,"[0.0, 0.041060735671514116, 0.3857998289136014, 0.388366124893071, 0.3798118049615056]","[0.0029940119760479044, -0.29897348160821213, -0.316082121471343, -0.3143712574850299, -0.3058169375534645]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.1890016670004115, 1.8741212919994723, 2.370220500000869, 2.770154874997388, 3.1550464590036427]",['validate'],0.9106073567151411,1.980089582997607,37.65424020800128,37.65424020800128,space,0.7948098330016364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
2,,,,0,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.1)","(0.0, -0.1)","Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,39.29401058299845,41.29640862499946,41.64085541699751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,38.49588770799892,space,0.7736808750050841,0,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,41.64085541699751,43.605223957994895,right,0,5.191259250001167,0,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,46.907818749998114,47.35997970799508,47.35997970799508,47.438456249998126,50.344439458000124,50.344439458000124,[0],140066,001,A,2023-07-04_15h06.53.933,vb_task_exp_1,2022.2.5,None,
