Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,outcome_feedback.stopped,text_resultat.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,outcome3_var.routineEndVal,image_outcome3.stopped,resultat3_outcome.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.24157416699745,65.24157416699745,space,0.538641084000119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.81282125000143,65.81282125000143,space,0.13023591700039105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.96259287500288,65.96259287500288,space,0.16184404200612335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,66.13969008300046,space,0.42618483299884247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,85.11343995800416,space,0.7553123750039958,66.57797108300292,68.60130204199959,70.60264283300057,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,70.93645537499833,72.90921016700304,left,0,3.1870245000100113,74.17419720799808,74.17419720799808,74.17419720799808,74.17419720799808,74.17419720799808,74.17419720799808,74.17419720799808,74.17419720799808,74.649735125,74.649735125,74.70305725000071,76.18643083300412,76.18643083300412,76.18643083300412,0.018115874998329673,76.18643083300412,76.18643083300412,0.0,1.8405939170042984,"[-0.015397775876817793, 0.04961505560307956, 0.38152266894781867]","[-0.026090675791274595, -0.3015397775876818, -0.306672369546621]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.7208707500030869, 2.628988875003415, 6.154277291003382]",['validate'],0.9961505560307955,2.7350767090028967,82.3069872499982,82.3069872499982,space,0.7965812080001342,83.11522449999757,85.11343995800416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.8911660829981,87.89830233300017,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,88.2362894580001,,left,0,0.2771987920059473,88.54747825000231,88.54747825000231,88.54747825000231,88.54747825000231,88.54747825000231,88.54747825000231,88.54747825000231,88.54747825000231,89.03904558299837,89.03904558299837,89.06571341700328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.52697516699845,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,90.85436283300078,,right,0,0.9522945419957978,91.83630237499892,91.83630237499892,91.83630237499892,91.83630237499892,91.83630237499892,91.83630237499892,91.83630237499892,91.83630237499892,92.32036529199831,92.32036529199831,92.34682849999808,,,,,,,,,,,,,,,,,,,,,,,,93.80407399999967,93.80407399999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.81254537500354,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,94.15134812500037,,left,0,0.4471475000027567,94.63214937500015,94.63214937500015,94.63214937500015,94.63214937500015,94.63214937500015,94.63214937500015,94.63214937500015,94.63214937500015,95.12827541700244,95.12827541700244,95.15532616699784,,,,,,,,,,,,,,,,,,,,,,,,96.60649766700226,96.60649766700226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.6311295830019,96.6311295830019,96.6311295830019,0.004172708999249153,96.6311295830019,96.6311295830019,2.0,1.1811929579998832,"[0.09067579127459367, 0.05132591958939264, 0.388366124893071, 0.39948674080410607]","[-0.014114627887082978, -0.2844311377245509, -0.28528656971770744, -0.3118049615055603]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.0694611670041922, 1.7036893330005114, 2.238476250000531, 3.207050958000764]",['validate'],1,1.809369542002969,99.82074633300363,99.82074633300363,space,0.728680541003996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
4,,,,0,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.1)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)","Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,101.44585879200167,103.45299133299704,103.79551887499838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,100.5925793330025,space,0.8306695830033277,1,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,103.79551887499838,105.76825612500397,space,0,2.6895267920044716,1,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,106.5611061669988,107.01295783300156,107.01295783300156,107.09085945800325,[1],,,174232,001,A,2023-07-04_14h42.33.275,vb_task_exp_1,2022.2.5,None,
