Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96978562500226,12.96978562500226,12.96978562500226,12.96978562500226,12.96978562500226,12.96978562500226,12.96978562500226,12.96978562500226,0.0030144579977786634,20.648773750002874,4.0,4.556039125000098,2.0,5.442846791000193,2.0,6.987659624999651,1.9814849102018144,7.705283582999982,0.007128309572301426,-0.3869653767820774,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.317190125002526,21.317190125002526,space,1.218707624997478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.570994916000927,22.570994916000927,space,0.12677979199725087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.719987791002495,22.719987791002495,space,0.17741266599841765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,22.908066666001105,space,0.6001998749961786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,45.63744612500159,space,0.7944123329980357,23.514398458002688,25.52965345800112,25.52965345800112,35.61479395800052,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,35.929993875000946,right,0,0.49168154200015124,36.451721291003196,36.451721291003196,36.451721291003196,36.451721291003196,36.451721291003196,36.451721291003196,36.451721291003196,36.451721291003196,36.941465291001805,36.941465291001805,36.97205612500329,38.41149191600198,38.41149191600198,38.492682583000715,38.492682583000715,38.492682583000715,0.02315245799763943,38.492682583000715,38.492682583000715,-3.0,2.0833423330004734,"[-0.12830957230142567, 0.05702647657841141, 0.048879837067209775, 0.4439918533604888]","[0.026476578411405296, -0.3034623217922607, -0.3034623217922607, -0.3085539714867617]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.9893090420009685, 3.0040391250004177, 3.420966875000886, 4.051425957997708]",['validate'],0.9887983706720977,3.5254217500005325,42.50460795800245,42.50460795800245,space,1.1156378339983348,43.63478125000256,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,"(-0.2,-0.1)","(0.2,-0.1)","(0,0.1)","(0,-0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, 0.1)","(0.0, -0.1)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.448406666000665,48.46232341600262,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,48.819020583003294,left,0,0.7622728749993257,49.61371599999984,49.61371599999984,49.61371599999984,49.61371599999984,49.61371599999984,49.61371599999984,49.61371599999984,49.61371599999984,50.10359400000016,50.10359400000016,50.134190958000545,51.579343333,51.579343333,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,"(-0.2,-0.1)","(0.2,-0.1)","(0,0.1)","(0,-0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, 0.1)","(0.0, -0.1)",,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.60276429100122,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,51.9450939160015,right,0,0.2693367499996384,52.254301250002754,52.254301250002754,52.254301250002754,52.254301250002754,52.254301250002754,52.254301250002754,52.254301250002754,52.254301250002754,52.74866650000331,52.74866650000331,52.77912320800169,54.21755304100225,54.21755304100225,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,"(-0.2,-0.1)","(0.2,-0.1)","(0,0.1)","(0,-0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, 0.1)","(0.0, -0.1)",,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.246138375001465,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,54.59049437500289,left,0,0.3029672499978915,54.92624570800035,54.92624570800035,54.92624570800035,54.92624570800035,54.92624570800035,54.92624570800035,54.92624570800035,54.92624570800035,55.41512750000038,55.41512750000038,55.44575362500109,56.89284929100177,56.89284929100177,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,"(-0.2,-0.1)","(0.2,-0.1)","(0,0.1)","(0,-0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, 0.1)","(0.0, -0.1)",,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.90539129100216,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,57.217721041000914,right,0,0.32977541699801804,57.58430050000243,57.58430050000243,57.58430050000243,57.58430050000243,57.58430050000243,57.58430050000243,57.58430050000243,57.58430050000243,58.069636958000046,58.069636958000046,58.10012045800249,,,,,,,,,,,,,,,,,,,,,,,,,208315,001,A,2023-04-24_17h05.53.345,vb_task_exp_1,2022.2.5,None,
