Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.084853624997777,20.084853624997777,20.084853624997777,20.084853624997777,20.084853624997777,20.084853624997777,20.084853624997777,20.084853624997777,0.003053374995943159,24.504091833005077,3.0,1.6096952910011169,2.0,2.5655243340006564,2.0,3.4438780000054976,1.9944454730605443,4.444302291012718,0.04073319755600815,-0.40835030549898166,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.261337457995978,25.261337457995978,space,0.9043272919952869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.21049545799906,26.21049545799906,space,0.5711778759869048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.818200166002498,26.818200166002498,space,0.36486370900820475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,27.198172916003386,space,0.3798292919964297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,42.81174020799517,space,0.6651939580042381,27.59468908299459,29.62094641600561,29.62094641600561,31.63324008299969,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,32.00350387500657,left,0,0.018625166994752362,32.078760749995126,32.078760749995126,32.078760749995126,32.078760749995126,32.078760749995126,32.078760749995126,32.078760749995126,32.078760749995126,32.56174433299748,32.56174433299748,32.5931035829999,34.026520041006734,34.026520041006734,34.085792166006286,34.085792166006286,34.085792166006286,0.014254541994887404,34.085792166006286,34.085792166006286,0.0,5.130576750001637,"[0.04378818737270876, -0.004073319755600814, 0.3604887983706721]","[-0.31160896130346233, 0.0, -0.29022403258655805]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.3081089580082335, 5.034140208008466, 6.017946040999959]",['validate'],0.9378818737270875,4.383016332998523,40.06406845799938,40.06406845799938,space,0.7406498749915045,40.815760375000536,42.81174020799517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.49386324999796,45.50893695799459,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,45.88832620800531,left,0,0.30291579199547414,46.230537541006925,46.230537541006925,46.230537541006925,46.230537541006925,46.230537541006925,46.230537541006925,46.230537541006925,46.230537541006925,46.71977195799991,46.71977195799991,46.750504041003296,48.19461229100125,48.19461229100125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.202310749999015,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,48.56493866600795,right,0,0.3205362500011688,48.92115016600292,48.92115016600292,48.92115016600292,48.92115016600292,48.92115016600292,48.92115016600292,48.92115016600292,48.92115016600292,49.411796875006985,49.411796875006985,49.44230037499801,50.878636875000666,50.878636875000666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.92474212500383,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,51.23152737499913,left,0,0.22082470900204498,51.488131000005524,51.488131000005524,51.488131000005524,51.488131000005524,51.488131000005524,51.488131000005524,51.488131000005524,51.488131000005524,51.97635275000357,51.97635275000357,52.00678004100337,53.44606033300806,53.44606033300806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.501688125004875,53.501688125004875,53.501688125004875,0.016947958996752277,53.501688125004875,53.501688125004875,0.0,1.5688330839911941,"[0.014256619144602852, 0.04786150712830957, 0.34826883910386963]","[0.0, -0.2780040733197556, -0.29022403258655805]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.4494677500042599, 2.2321910000027856, 3.0948195420060074]",['validate'],0.9786150712830957,2.39257137500681,56.575471000003745,56.575471000003745,space,0.6625492080056574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235822,001,A,2023-05-10_10h57.11.732,vb_task_exp_1,2022.2.5,None,
