Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,outcome3_var.routineEndVal,question_mark3.started,image_outcome3.stopped,resultat3_outcome.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.006682207997073,17.006682207997073,17.006682207997073,17.006682207997073,17.006682207997073,17.006682207997073,17.006682207997073,17.006682207997073,0.00303912500385195,21.504112165996048,4.0,1.3274789999995846,2.0,2.0150934170014807,3.0,3.78239933399891,1.9984446691033517,4.523520791997726,-0.04020530367835757,-0.4016253207869974,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.01277662499342,22.01277662499342,space,0.5761771260076785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.611090582999168,22.611090582999168,space,0.2978711260075215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.927919249996194,22.927919249996194,space,0.39325183400069363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,23.340407249997952,space,0.8901938340059132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,47.03192008299811,right,0.48566774999926565,24.23593704099767,26.257619999996678,38.40355004099547,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,38.720917415994336,right,0,0.32218595900485525,39.0823835409974,39.0823835409974,39.0823835409974,39.0823835409974,39.0823835409974,39.0823835409974,39.0823835409974,39.0823835409974,39.57877704099519,39.57877704099519,39.61061462499492,38.39454324999679,38.39454324999679,41.121221540997794,41.121221540997794,41.121221540997794,0.019794084000750445,41.121221540997794,41.121221540997794,0.0,2.130922832999204,"[-0.003421727972626176, -0.003421727972626176, 0.41402908468776733]","[-0.0029940119760479044, -0.3075278015397776, -0.2946963216424294]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[2.0321624580028583, 2.750678415999573, 3.5075199580023764]",['validate'],0.46578272027373824,2.85886520799977,44.588679665997915,44.588679665997915,space,0.43364820900023915,45.03170049999608,47.03192008299811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.53774954099936,49.54342908299441,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,49.83447866599454,right,0,0.47956675000023097,50.34675333299674,50.34675333299674,50.34675333299674,50.34675333299674,50.34675333299674,50.34675333299674,50.34675333299674,50.34675333299674,50.83533604099648,50.83533604099648,50.867059541000344,52.32269974999508,52.32269974999508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.33047654099937,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,52.63710945799539,right,0,0.24581183400005102,52.932816915999865,52.932816915999865,52.932816915999865,52.932816915999865,52.932816915999865,52.932816915999865,52.932816915999865,52.932816915999865,53.42293745799543,53.42293745799543,53.45424049999565,54.90768437499355,54.90768437499355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.91233120799734,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,55.23116258299706,right,0,0.27719729200180154,55.54429141599394,55.54429141599394,55.54429141599394,55.54429141599394,55.54429141599394,55.54429141599394,55.54429141599394,55.54429141599394,56.03512266599864,56.03512266599864,56.06652008299716,57.522004457998264,57.522004457998264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.553320082995924,57.553320082995924,57.553320082995924,0.007073666994983796,57.553320082995924,57.553320082995924,0.0,1.8085141670017038,"[-0.000855431993156544, -0.00427715996578272, 0.38323353293413176]","[-0.00213857998289136, -0.3032506415739949, -0.3041060735671514]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.7216951250011334, 2.6450628329985193, 3.9934037499988335]",['validate'],0.4572284003421728,2.752728917002969,61.52387974999874,61.52387974999874,space,25.767321459003142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
7,,,,6,down,up,left,right,"(0,-0.3)","(0,0.1)","(-0.2,-0.1)","(0.2,-0.1)","(0.0, -0.2)","(0.0, 0.2)","(0.2,0.0)","(-0.2,0.0)","Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1,0.2,0.8,0.8,0.2,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.02999004099547,147.0375908329952,147.45451637499355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,87.34698533299525,space,57.64609891700093,0,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,147.45451637499355,up,0,1.7394723339966731,0,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.2852521659952,149.7334556249989,149.7334556249989,149.83055204099946,[0],,,,358249,001,A,2023-07-05_18h10.38.144,vb_task_exp_1,2022.2.5,None,
