Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,text_4.stopped,text_instr_12.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.668960458999209,11.668960458999209,space,4.331756332998339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.03981895900506,16.03981895900506,space,0.28032504099974176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.34279083400179,16.34279083400179,space,0.16244541599735385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,16.52207045900286,space,0.436096457997337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,29.70265137500246,space,0.8195300419974956,16.96902337500069,18.991206709004473,20.984916708999663,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,21.31258020899986,right,0,0.2567142909974791,21.61393075000524,21.61393075000524,21.61393075000524,21.61393075000524,21.61393075000524,21.61393075000524,21.61393075000524,21.61393075000524,22.089527834003093,22.089527834003093,22.14630479200423,23.568049000001338,23.568049000001338,23.625019500002963,23.625019500002963,23.625019500002963,0.011570666996703949,23.625019500002963,23.625019500002963,2.0,1.8084760419951635,"[0.08639863130881095, 0.05218135158254919, 0.4491017964071856, 0.43627031650983744]","[0.003849443969204448, -0.2887082976903336, -0.27331052181351584, -0.29298545765611633]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.708509000003687, 2.4181089170015184, 2.9135697500023525, 3.178922874998534]",['validate'],1,2.5014357500040205,26.768734875004156,26.768734875004156,space,0.9208701250026934,27.70361291700101,29.70265137500246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.541667542005598,32.547921500001394,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,32.87397195900121,left,0,1.5103689579991624,34.428242583999236,34.428242583999236,34.428242583999236,34.428242583999236,34.428242583999236,34.428242583999236,34.428242583999236,34.428242583999236,34.91539620900585,34.91539620900585,34.94317683400004,36.3821615840061,36.3821615840061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4007092920001,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,36.739895625003555,left,0,1.5929429160023574,38.36278137499903,38.36278137499903,38.36278137499903,38.36278137499903,38.36278137499903,38.36278137499903,38.36278137499903,38.36278137499903,38.847459084005095,38.847459084005095,38.875983500001894,40.323677917003806,40.323677917003806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.34349916700012,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,40.68170800000371,left,0,1.0483506659948034,41.76882587500586,41.76882587500586,41.76882587500586,41.76882587500586,41.76882587500586,41.76882587500586,41.76882587500586,41.76882587500586,42.25278112500382,42.25278112500382,42.27911370900256,43.74218220900366,43.74218220900366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.77533295900503,43.77533295900503,43.77533295900503,0.011548874994332436,43.77533295900503,43.77533295900503,-1.0,1.3335693749977509,"[-0.055603079555175364, 0.05389221556886228, 0.3567151411462789]","[-0.02523524379811805, -0.2998289136013687, -0.2998289136013687]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.2564047919950099, 2.4783280420015217, 3.101844374999928]",['validate'],1,2.5625527080046595,46.85974741700193,46.85974741700193,space,0.8888408749990049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
3,,,,0,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)","Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,49.3857957920045,51.397180709005625,51.739056792001065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,47.79181895900547,space,1.569843999001023,1,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,51.739056792001065,53.70072120900295,space,0,3.598587332999159,1,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.41389991700271,55.864464625003166,55.864464625003166,55.94233983400045,58.8441373750029,58.8441373750029,[0],,,,,,379017,001,A,2023-07-04_15h36.57.005,vb_task_exp_1,2022.2.5,None,
