Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59620741699473,12.59620741699473,12.59620741699473,12.59620741699473,12.59620741699473,12.59620741699473,12.59620741699473,12.59620741699473,0.003037000002223067,21.838650541998504,4.0,6.805560917004186,2.0,7.412425292000989,2.0,8.71978316699824,1.9875573528268138,9.271922917003394,0.01283147989734816,-0.4101796407185629,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.268078041997796,22.268078041997796,space,0.529788332998578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.83140816699597,22.83140816699597,space,0.1328898339997977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.983518916997127,22.983518916997127,space,0.11835370900371345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,23.122419583996816,space,0.07864358300139429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,52.863705208998,space,1.2339057080098428,23.218088666995754,25.238576042000204,25.238576042000204,39.116624208996654,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,39.42763637499593,right,0,4.491578958004538,43.956841874998645,43.956841874998645,43.956841874998645,43.956841874998645,43.956841874998645,43.956841874998645,43.956841874998645,43.956841874998645,44.453957334000734,44.453957334000734,44.48523404199659,34.91248783399351,34.91248783399351,41.40976533399953,45.99643937499786,45.99643937499786,45.99643937499786,0.02185000000463333,45.99643937499786,45.99643937499786,0.0,2.6401312080051866,"[0.0051325919589392645, 0.03934987168520103, 0.041916167664670656, 0.41488451668092385]","[-0.004704875962360992, -0.29298545765611633, -0.29298545765611633, -0.3041060735671514]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.54142129200045, 3.3723790839940193, 3.5363215420002234, 4.127848083997378]",['validate'],0.9191616766467066,3.586347124997701,50.084422291998635,50.084422291998635,space,0.7627792089988361,50.85845058399718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.11910141699627,56.12314216699451,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,56.54019745899859,right,0,0.2325917920024949,56.81297345899657,56.81297345899657,56.81297345899657,56.81297345899657,56.81297345899657,56.81297345899657,56.81297345899657,56.81297345899657,57.30454162499518,57.30454162499518,57.335767666998436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.790120249999745,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,59.11811670899624,right,0,0.427639834000729,59.57656324999698,59.57656324999698,59.57656324999698,59.57656324999698,59.57656324999698,59.57656324999698,59.57656324999698,59.57656324999698,60.077544791995024,60.077544791995024,60.10880741699657,61.55025258399837,61.55025258399837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.55437437499495,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,61.878982416994404,right,0,0.3433900000018184,62.25526174999686,62.25526174999686,62.25526174999686,62.25526174999686,62.25526174999686,62.25526174999686,62.25526174999686,62.25526174999686,62.74487495899666,62.74487495899666,62.77613658399787,64.21610441699886,64.21610441699886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.26458416699461,64.26458416699461,64.26458416699461,0.012148540998168755,64.26458416699461,64.26458416699461,1.0,1.4260736659998656,"[0.03421727972626176, 0.041060735671514116, 0.3627031650983747]","[0.0106928999144568, -0.3041060735671514, -0.3006843455945252]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.33311862499977, 2.0721419590045116, 2.7091167920007138]",['validate'],0.9106073567151411,2.1766380420012865,66.95255495899619,66.95255495899619,space,0.7460935420021997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457715,001,A,2023-07-05_17h24.51.210,vb_task_exp_1,2022.2.5,None,
