Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.980768291999993,16.980768291999993,space,11.08227737499692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.107237500000338,28.107237500000338,space,0.7735087499968358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.907621582999127,28.907621582999127,space,0.29329799999686657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,29.219939583002997,space,0.8357986669943784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,369.41315737500554,space,1.0863959999987856,30.06764783300605,32.09414525000466,34.08703170800436,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,34.4218472499997,left,0,0.6825553329981631,35.15653425000346,35.15653425000346,35.15653425000346,35.15653425000346,35.15653425000346,35.15653425000346,35.15653425000346,35.15653425000346,35.631272833001276,35.631272833001276,35.68851758300298,37.17319616700115,37.17319616700115,37.17319616700115,0.015922792001219932,37.17319616700115,37.17319616700115,1.0,327.2728773750059,"[0.04961505560307956, 0.0504704875962361, 0.3917878528656972]","[0.0106928999144568, -0.29897348160821213, -0.2946963216424294]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[327.1742293749994, 328.1857029579987, 328.98933058299735]",['validate'],1,328.29017395799747,366.12718887500523,366.12718887500523,space,1.2810750419957913,367.41635395800404,369.41315737500554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.1)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.51818687500054,372.5273753750007,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,372.8691037079989,left,0,0.25295354199624853,373.1564640420038,373.1564640420038,373.1564640420038,373.1564640420038,373.1564640420038,373.1564640420038,373.1564640420038,373.1564640420038,373.63847754200106,373.63847754200106,373.6906244580023,,,,,,,,,,,,,,,,,,,,,,,,375.1222450830028,375.1222450830028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.1)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.1321071670027,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,375.4672095420028,left,0,6.650181083001371,382.14657454199914,382.14657454199914,382.14657454199914,382.14657454199914,382.14657454199914,382.14657454199914,382.14657454199914,382.14657454199914,382.6337016250036,382.6337016250036,382.6604058330049,,,,,,,,,,,,,,,,,,,,,,,,384.1161610830022,384.1161610830022,377.4520960000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.1)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.1250088750021,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,384.46384283299994,left,0,0.3609491250026622,384.85896391700226,384.85896391700226,384.85896391700226,384.85896391700226,384.85896391700226,384.85896391700226,384.85896391700226,384.85896391700226,385.3505046670034,385.3505046670034,385.3771725830011,,,,,,,,,,,,,,,,,,,,,,,,386.8347179580014,386.8347179580014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.8655916670032,386.8655916670032,386.8655916670032,0.010259208000206854,386.8655916670032,386.8655916670032,1.0,1.7647652920059045,"[0.023952095808383235, 0.04704875962360992, 0.34644995722840033]","[0.009837467921300257, -0.2998289136013687, -0.3118049615055603]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.6673591250000754, 2.605371000005107, 3.299997166999674]",['validate'],0.9704875962360993,2.6870209589978913,390.14977875000477,390.14977875000477,space,0.7791262909959187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527009,001,A,2023-07-04_15h15.50.538,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.17822100000194,398.1837006249989,398.52094904200203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,390.9695870420037,space,5.187409041995124,0,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,398.52094904200203,400.4917000830028,,,,,,,,
