Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,ext_pos_image,dom_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,outcome_feedback.stopped,text_resultat.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.34613666599762,10.34613666599762,space,0.8043935840105405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.17261850000068,11.17261850000068,space,0.16544629200507188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.357333374995505,11.357333374995505,space,0.22245554201072082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,11.598017790995073,space,92.18646845800686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,116.11728424999455,right,0.5624812500100234,103.7978741659972,105.81517608300055,105.81517608300055,107.8197397499971,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,108.15166554099414,right,0,0.33295087500300724,108.52083033300005,108.52083033300005,108.52083033300005,108.52083033300005,108.52083033300005,108.52083033300005,108.52083033300005,108.52083033300005,109.01565433299402,109.01565433299402,109.04218112499802,110.54365549999784,110.54365549999784,110.54365549999784,0.017080334000638686,110.54365549999784,110.54365549999784,0.0,1.475834582997777,"[0.011976047904191617, 0.04875962360992301, 0.37553464499572287, 0.38323353293413176]","[-0.026090675791274595, -0.27074422583404617, -0.3143712574850299, -0.29726261762189904]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.3645896249945508, 2.0139259589996072, 2.636598999997659, 3.0610564169983263]",['validate'],0.9875962360992301,2.0990647090002312,113.5712887080008,113.5712887080008,space,0.5299943340069149,114.11771270800091,116.11728424999455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.69764079099696,118.70961216599972,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,119.04189916599717,right,0,0.3016996670048684,119.37825995800085,119.37825995800085,119.37825995800085,119.37825995800085,119.37825995800085,119.37825995800085,119.37825995800085,119.37825995800085,119.861139790999,119.861139790999,119.8879456249997,,,,,,,,,,,,,,,,,,,,,,,,121.34717954100051,121.34717954100051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.35190791599598,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,121.6812930409942,right,0,0.27434133399947314,121.99051141599921,121.99051141599921,121.99051141599921,121.99051141599921,121.99051141599921,121.99051141599921,121.99051141599921,121.99051141599921,122.47989983300067,122.47989983300067,122.50752879100037,,,,,,,,,,,,,,,,,,,,,,,,123.96651087499777,123.96651087499777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.1)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.1)","(0.0, 0.1)",,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.97116724999796,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,124.29850004099717,right,0,0.2696175000091898,124.60380908299703,124.60380908299703,124.60380908299703,124.60380908299703,124.60380908299703,124.60380908299703,124.60380908299703,124.60380908299703,125.08878737499617,125.08878737499617,125.11495266600105,,,,,,,,,,,,,,,,,,,,,,,,126.5712095409981,126.5712095409981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.60858266599826,126.60858266599826,126.60858266599826,0.010288124998623971,126.60858266599826,126.60858266599826,1.0,11.152965458997642,"[0.02566295979469632, 0.0504704875962361, 0.358426005132592]","[0.004704875962360992, -0.3109495295124038, -0.2921300256629598]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[11.054872707994946, 11.721686832999694, 12.318288665999717]",['validate'],1,11.828151959001843,138.90986345800047,138.90986345800047,space,0.6502299170024344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,529663,001,A,2023-07-04_14h55.46.019,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.16891779099387,146.18320129099448,146.52182337499835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,139.5989169999957,space,4.550667459006945,1,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,146.52182337499835,148.4989209159976,,,,,,,,
