Condition,bern_param_play,bern_param_not_play,dP,impact,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,image_avec_training.started,image_sans_training.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,image_avec_outcome_training.started,image_sans_outcome_training.started,cross_outcome_training.started,joueur_feedback.started,image_outcome_training.started,text_resultat.started,cross_outcome_training.stopped,image_outcome_training.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,text_question_trial23.started,text_numero_joueur.started,cross_fixation.started,image_avec_cues_23.started,image_sans_cues_23.started,image_domicile_cues_23.started,image_exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_feedback23.started,exterieur_feedback23.started,text_question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_feedback23.started,sans_feedback23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,14.96258395901532,0.0030196250008884817,27.792715250019683,6.0,8.492813332995865,3.0,9.364565500000026,3.0,11.67101212500711,2.009257544899093,12.854134917026386,0.003054989816700611,-0.41140529531568226,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.301992624998093,28.301992624998093,space,12.960975166002754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.287593167013256,41.287593167013256,space,12.044760207994841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.354859750019386,53.354859750019386,space,43.83533691597404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,97.2100995000219,space,210.96834266599035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,379.19743387500057,space,4.538463124976261,308.1996800000197,310.2107178750157,324.71921920901514,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,325.1700708340213,312.6108782920055,left,0,0.3463464579836,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,325.5459384590213,326.05059125000844,326.05059125000844,326.0824952920084,327.5322548340191,327.5322548340191,327.5830544590135,327.5830544590135,327.5830544590135,0.01679958400200121,327.5830544590135,327.5830544590135,7.0,4.144103124999674,"[0.3258655804480652, 0.04684317718940937, 0.43075356415478616]","[-0.003054989816700611, -0.3105906313645621, -0.2953156822810591]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[4.02333329198882, 5.59953720800695, 7.027451750007458]",['validate'],0.9684317718940937,5.712962541001616,334.5697617090191,334.5697617090191,space,42.60781962398323,377.1984857089992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
8,0.8,0.2,0.6,6,,,,,,,,,,,,,,,,,,0,0,0,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383.76192583399825,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,384.10874975001207,386.08706454202184,right,0,56.810582082980545,440.95816820900654,440.95816820900654,440.95816820900654,440.95816820900654,440.95816820900654,440.95816820900654,440.95816820900654,440.95816820900654,441.4563386249938,441.4563386249938,441.48802787502063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
8,0.8,0.2,0.6,6,,,,,,,,,,,,,,,,,,0,0,0,7,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.9407310420065,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,443.31311704200925,,left,0,0.3664402909926139,443.7110876670049,443.7110876670049,443.7110876670049,443.7110876670049,443.7110876670049,443.7110876670049,443.7110876670049,443.7110876670049,444.2051182500145,444.2051182500145,444.23655895900447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
8,0.8,0.2,0.6,6,,,,,,,,,,,,,,,,,,0,0,0,7,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445.6896820840193,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,446.07115591701586,,right,0,0.28867216597427614,446.39134387500235,446.39134387500235,446.39134387500235,446.39134387500235,446.39134387500235,446.39134387500235,446.39134387500235,446.39134387500235,446.8970064590103,446.8970064590103,446.9285370419966,448.3609368340112,448.3609368340112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,,,,,,,,,,,,,,,,,,0,1,1,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.1390696669987,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,598.525967167021,600.5158882920223,left,0,2.4598896239767782,601.0277417089965,601.0277417089965,601.0277417089965,601.0277417089965,601.0277417089965,601.0277417089965,601.0277417089965,601.0277417089965,601.530888334004,601.530888334004,601.5624232090195,602.9921267919999,602.9921267919999,448.397184750007,448.397184750007,448.397184750007,0.00321033300133422,448.397184750007,448.397184750007,1.0,3.018281083990587,"[0.06517311608961303, 0.0560081466395112, 0.051934826883910386, 0.4134419551934827]","[0.006109979633401222, -0.3004073319755601, -0.29938900203665986, -0.2953156822810591]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.9574236670159735, 3.9693311250011902, 5.147599625022849, 149.76458233300946]",['validate'],1,5.229782000009436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,554016,001,A,2023-04-12_13h18.16.282,vb_task_exp_1,2022.2.5,None,
