Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,question_mark3.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.110659625002882,14.110659625002882,14.110659625002882,14.110659625002882,14.110659625002882,14.110659625002882,14.110659625002882,14.110659625002882,0.003029333005542867,20.086373041005572,3.0,3.046340417000465,2.0,3.6948299589930684,2.0,5.098464125003375,1.9984446691033517,6.0061927499991725,-0.0213857998289136,-0.3853721129170231,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.635652458004188,20.635652458004188,space,0.6335370000015246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.30584508299944,21.30584508299944,space,0.18017533399688546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4988252080002,21.4988252080002,space,0.16369216800376307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,21.677133208002488,space,0.3665653759962879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,64.14712654100003,space,2.5131287920012255,22.06623116600531,24.080977750003512,24.080977750003512,47.14890241600369,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,47.5285024160039,49.51453775000118,left,0,7.51551404199563,55.07489320800232,55.07489320800232,55.07489320800232,55.07489320800232,55.07489320800232,55.07489320800232,55.07489320800232,55.07489320800232,55.5658153330005,55.5658153330005,55.59706979100156,40.82013900000311,40.82013900000311,57.11595804100216,57.11595804100216,57.11595804100216,0.024480874999426305,57.11595804100216,57.11595804100216,-1.0,1.4297207920026267,"[-0.036783575705731396, 0.05902480752780154, 0.05474764756201882, 0.3421727972626176, 0.4037639007698888]","[0.02523524379811805, -0.2946963216424294, -0.2946963216424294, -0.2946963216424294, -0.2946963216424294]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[1.303596915997332, 2.051223290996859, 2.4484437499995693, 3.041626540994912, 3.816691832995275]",['validate'],1,2.582490125001641,60.89288741600467,60.89288741600467,space,1.2399062090044026,62.15246037500037,64.14712654100003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.68998758299858,68.69855116600229,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,69.08725483300077,,left,0,0.5132579179989989,69.6530686660044,69.6530686660044,69.6530686660044,69.6530686660044,69.6530686660044,69.6530686660044,69.6530686660044,69.6530686660044,70.14578754100512,70.14578754100512,70.1780387079998,71.6142456660018,71.6142456660018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6230471250019,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,71.99297845800174,73.9716834580031,right,0,8.15249170899915,80.18085024999891,80.18085024999891,80.18085024999891,80.18085024999891,80.18085024999891,80.18085024999891,80.18085024999891,80.18085024999891,80.66733400000521,80.66733400000521,80.69848966599966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.16487625000445,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,82.49777500000346,84.47563033299957,left,0,2.994444668001961,85.52551941600541,85.52551941600541,85.52551941600541,85.52551941600541,85.52551941600541,85.52551941600541,85.52551941600541,85.52551941600541,86.01758029100165,86.01758029100165,86.04872270800115,87.4887243330013,87.4887243330013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.53919770799985,87.53919770799985,87.53919770799985,0.013122042000759393,87.53919770799985,87.53919770799985,0.0,1.9878014579953742,"[-0.011120615911035072, 0.04790419161676647, 0.3798118049615056, 0.3746792130025663]","[-0.024379811804961505, -0.29298545765611633, -0.28357570573139435, -0.2946963216424294]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.8917461250021006, 2.791231916999095, 3.3049353750029695, 3.6773828329969547]",['validate'],0.9533789563729683,2.899326499995368,91.19433937500435,91.19433937500435,space,0.6548337929998524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747739,001,A,2023-07-05_17h33.39.873,vb_task_exp_1,2022.2.5,None,
