Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,text_4.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.669455041002948,10.669455041002948,space,3.2371449589918484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94921837500442,13.94921837500442,space,2.9895061669958523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.964972708003188,16.964972708003188,space,5.102955416994519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,22.088078916000086,space,1.340123958994809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,43.60220225000376,space,1.1293272499897284,23.436839957998018,25.448226166001405,25.448226166001405,27.451260166002612,27.451260166002612,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,27.791785708002863,right,0,0.27036279199819546,28.110240082998644,28.110240082998644,28.110240082998644,28.110240082998644,28.110240082998644,28.110240082998644,28.110240082998644,28.110240082998644,28.588187082998047,28.588187082998047,28.6439607909997,30.120400874999177,30.120400874999177,30.120400874999177,0.015209000004688278,30.120400874999177,30.120400874999177,0.0,9.433054000000993,"[-0.00855431993156544, 0.04704875962360992, 0.41146278870829767]","[-0.008982035928143712, -0.3075278015397776, -0.3041060735671514]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[9.377100375000737, 10.399325875005161, 10.873416209004063]",['validate'],0.9704875962360993,10.461792999994941,40.958363541001745,40.958363541001745,space,0.638947207997262,41.609529250003106,43.60220225000376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.7503486659989,,46.76579112499894,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,47.09529974999896,right,0,0.7794157919997815,47.91569991600409,47.91569991600409,47.91569991600409,47.91569991600409,47.91569991600409,47.91569991600409,47.91569991600409,47.91569991600409,48.40285995799786,48.40285995799786,48.42951904100482,,,,,,,,,,,,,,,,,,,,,,,,49.885000875001424,49.885000875001424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.893457707999914,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,50.23052783300227,right,0,1.9323803749939543,52.201742500001274,52.201742500001274,52.201742500001274,52.201742500001274,52.201742500001274,52.201742500001274,52.201742500001274,52.201742500001274,52.68735316600214,52.68735316600214,52.714088291002554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.17951883299975,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,54.50841958299861,right,0,6.705314249993535,61.243805833000806,61.243805833000806,61.243805833000806,61.243805833000806,61.243805833000806,61.243805833000806,61.243805833000806,61.243805833000806,61.729781665999326,61.729781665999326,61.75578745800158,,,,,,,,,,,,,,,,,,,,,,,,63.21113375000277,63.21113375000277,56.49315595799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.25344604100246,63.25344604100246,63.25344604100246,0.013110166000842582,63.25344604100246,63.25344604100246,1.0,5.730777582997689,"[0.0290846877673225, 0.05218135158254919, 0.4439692044482464]","[-0.004704875962360992, -0.29298545765611633, -0.2998289136013687]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[5.654350625001825, 6.400135666997812, 6.909465582997655]",['validate'],1,6.462984459001746,70.1458193330036,70.1458193330036,space,0.738391500992293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
3,,,,0,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)","Deuxième saison:  
  L'emplacement du match influence les performances de l'équipe.Vous avez la possibilité de sélectionner le nouveau joueur pour participer au match ou de choisir le lieu du match (à domicile ou à l’extérieur, figures ci-dessous). Pour un certain nombre de matchs tirés au hasard, l'entraîneur adjoint prendra les décisions à votre place: dans ce cas, utilisez la touche espace pour afficher les décisions de l’adjoint. 
 Appuyez sur la touche espace pour commencer. ",1,0.5,0.5,0.5,0.5,0.6,0.4,0.6,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,75.85442108300049,,77.85823633299879,78.20396150000306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,70.92279041599977,space,4.908892874998855,1,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,78.20396150000306,80.17358579100255,space,0,2.7474927500006743,1,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.02356141600467,81.47386558300059,81.47386558300059,81.55196666600386,84.44482183299988,84.44482183299988,[1],828953,001,A,2023-07-04_15h30.07.301,vb_task_exp_1,2022.2.5,None,
