Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_4.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,outcome3_var.routineEndVal,image_outcome3.stopped,resultat3_outcome.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.74711812500027,12.74711812500027,12.74711812500027,12.74711812500027,12.74711812500027,12.74711812500027,12.74711812500027,12.74711812500027,0.003055458000744693,18.005278208001982,4.0,2.577530749993457,2.0,3.2310330830005114,2.0,4.134978250003769,1.9922233455167588,5.287482749998162,0.0051325919589392645,-0.4247219846022241,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.76518454199686,18.76518454199686,space,2.441390626001521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.232913499996357,21.232913499996357,space,0.4671680000028573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.717244624996965,21.717244624996965,space,13.843221542003448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,35.5747930419966,space,0.9149092919979012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,61.1387833330009,right,0.4984017919996404,36.498606041997846,38.521342499996535,38.521342499996535,52.141578499999014,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,52.43414387499797,right,0,0.9408285000026808,53.41812024999672,53.41812024999672,53.41812024999672,53.41812024999672,53.41812024999672,53.41812024999672,53.41812024999672,53.41812024999672,53.90631079200102,53.90631079200102,53.9380056250011,55.391509542001586,55.391509542001586,55.45203500000207,55.45203500000207,55.45203500000207,0.01692341700254474,55.45203500000207,55.45203500000207,0.0,1.6671221670039813,"[0.0025662959794696323, -0.00427715996578272, 0.40290846877673225]","[0.005560307955517536, -0.2964071856287425, -0.306672369546621]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.5680098329976317, 2.3304967079966445, 3.0609498330013594]",['validate'],0.4572284003421728,2.465858000003209,58.47330770800181,58.47330770800181,space,0.6543856670032255,59.138325082996744,61.1387833330009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.66355337500136,63.660754917000304,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,63.96959849999985,right,0,0.27064654199784854,64.27802491700277,64.27802491700277,64.27802491700277,64.27802491700277,64.27802491700277,64.27802491700277,64.27802491700277,64.27802491700277,64.78108129199973,64.78108129199973,64.81344387499848,66.24273379200167,66.24273379200167,,,,,,,,,,,,,,,,,,,,,,,,63.660754917000304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.25257024999883,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,66.59665812500316,right,0,0.13933574999828124,66.76927699999942,66.76927699999942,66.76927699999942,66.76927699999942,66.76927699999942,66.76927699999942,66.76927699999942,66.76927699999942,67.26253545800137,67.26253545800137,67.29393195799639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
4,0.2,0.8,-0.6,-6,right,left,down,up,"(0.2,-0.1)","(-0.2,-0.1)","(0,-0.3)","(0,0.1)","(0.2,0.0)","(-0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.75203216700174,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,69.0694659169967,right,0,0.30727754200052004,69.40864858299756,69.40864858299756,69.40864858299756,69.40864858299756,69.40864858299756,69.40864858299756,69.40864858299756,69.40864858299756,69.89788437500101,69.89788437500101,69.9293501669963,71.38279899999907,71.38279899999907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.42331037500117,71.42331037500117,71.42331037500117,0.013093499997921754,71.42331037500117,71.42331037500117,0.0,1.563082000000577,"[-0.003421727972626176, 0.000855431993156544, 0.3686911890504705]","[0.00213857998289136, -0.29897348160821213, -0.2981180496150556]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.4664459580017137, 2.278023833001498, 3.188195500006259]",['validate'],0.5085543199315654,2.3895280420038034,74.58913145800034,74.58913145800034,space,0.7447904170039692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,860578,001,A,2023-07-05_18h05.28.010,vb_task_exp_1,2022.2.5,None,
