Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,question_mark_training.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,question_mark3.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.666089708000072,13.666089708000072,13.666089708000072,13.666089708000072,13.666089708000072,13.666089708000072,13.666089708000072,13.666089708000072,0.0029997079982422292,19.67561045799812,4.0,3.2348715420012013,2.0,4.111582124998677,2.0,5.092772374999186,2.0031106617932966,6.033259207993979,-0.010265183917878529,-0.42301112061591106,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.220541665999917,20.220541665999917,space,0.5563517500049784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79889266599639,20.79889266599639,space,0.14262975000747247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.955341415996372,20.955341415996372,space,0.1342280010067043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,21.10028279099788,space,0.16346104200056288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,46.022688500001095,space,0.8485431670051184,21.28414049999992,23.290682165999897,23.290682165999897,37.66597762499441,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,38.004647957997804,right,0,0.37230045899923425,38.40589308299968,38.40589308299968,38.40589308299968,38.40589308299968,38.40589308299968,38.40589308299968,38.40589308299968,38.40589308299968,38.90112450000015,38.90112450000015,38.932698790995346,31.442373207995843,31.442373207995843,40.44119545799913,40.44119545799913,40.44119545799913,0.016047999997681472,40.44119545799913,40.44119545799913,0.0,1.722764250000182,"[0.0, -0.00427715996578272, 0.388366124893071]","[-0.005560307955517536, -0.29127459366980324, -0.29298545765611633]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.622830166001222, 2.3896778330017696, 3.1153572910043295]",['validate'],0.4572284003421728,2.496052582995617,43.51590379099798,43.51590379099798,space,0.49661629299953347,44.0244121249998,46.022688500001095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.88852687499457,48.9180522079987,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,49.33297766599571,right,0,2.44954700100061,51.828801083000144,51.828801083000144,51.828801083000144,51.828801083000144,51.828801083000144,51.828801083000144,51.828801083000144,51.828801083000144,52.310135832995,52.310135832995,52.371583583000756,53.7820503749972,53.7820503749972,,,,,,,,,,,,,,,,,,,,,,,,51.30562054099573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.81076191600005,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,54.172239290994185,left,0,0.5704548339999747,54.77250733300025,54.77250733300025,54.77250733300025,54.77250733300025,54.77250733300025,54.77250733300025,54.77250733300025,54.77250733300025,55.259124500000325,55.259124500000325,55.29029641599482,56.73123062499508,56.73123062499508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.757202165994386,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,57.07511812499433,right,0,2.4294694589989376,59.535805915998935,59.535805915998935,59.535805915998935,59.535805915998935,59.535805915998935,59.535805915998935,59.535805915998935,59.535805915998935,60.0270755409947,60.0270755409947,60.05829608299973,61.495048457996745,61.495048457996745,,,,,,,,,,,,,,,,,,,,,,,,59.06099987500056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.559880540997256,61.559880540997256,61.559880540997256,0.024636499998450745,61.559880540997256,61.559880540997256,0.0,1.58338800000638,"[-0.00427715996578272, -0.007698887938408896, 0.010265183917878529, 0.3652694610778443]","[-0.004704875962360992, -0.3023952095808383, -0.2946963216424294, -0.2921300256629598]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1.5159274580000783, 2.516195832999074, 3.916343124998093, 5.422215917002177]",['validate'],0.5256629597946963,4.736622249998618,66.9599792079971,66.9599792079971,space,0.5238209179951809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890128,001,A,2023-07-05_18h00.58.288,vb_task_exp_1,2022.2.5,None,
