Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,text_instruction,is_task_obs,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.349009208992356,14.349009208992356,14.349009208992356,14.349009208992356,14.349009208992356,14.349009208992356,14.349009208992356,14.349009208992356,0.0024047500046435744,20.37852641698555,4.0,2.162188791000517,2.0,4.021980916993925,3.0,4.963606499979505,2.0148120718385485,6.05001891698339,0.008146639511201629,-0.3869653767820774,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.099321166984737,21.099321166984737,space,0.798847416008357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.93173458398087,21.93173458398087,space,0.4616624159971252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.40193445899058,22.40193445899058,space,0.4410839160264004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,22.858547624986386,space,2.4835858320002444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,40.34029716698569,space,1.0451109989953693,25.352884083986282,27.366350041993428,27.366350041993428,29.36445145899779,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,29.76088112499565,left,0,0.34886554098920897,30.149349041981623,30.149349041981623,30.149349041981623,30.149349041981623,30.149349041981623,30.149349041981623,30.149349041981623,30.149349041981623,30.63330958399456,30.63330958399456,30.658097084000474,32.11339799998677,32.11339799998677,32.16262849999475,32.16262849999475,32.16262849999475,0.012488959007896483,32.16262849999475,32.16262849999475,1.0,2.466393375012558,"[0.03665987780040733, 0.06313645621181263, 0.05091649694501019, 0.40427698574338083]","[0.020366598778004074, -0.31262729124236255, -0.31771894093686354, -0.2973523421588595]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[2.390760999987833, 3.6923786670085974, 4.279511792003177, 5.102542250009719]",['validate'],0.9989816700610998,4.361846792016877,37.235436249990016,37.235436249990016,space,1.0872675830032676,38.33652795900707,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.40376616700087,43.41054333400098,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,43.769496916997014,left,0,0.6972176249837503,44.51137833399116,44.51137833399116,44.51137833399116,44.51137833399116,44.51137833399116,44.51137833399116,44.51137833399116,44.51137833399116,45.008307666983455,45.008307666983455,45.03293016698444,46.478836708993185,46.478836708993185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.48793783399742,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,46.81975133399828,right,0,0.29995687401969917,47.14940641698195,47.14940641698195,47.14940641698195,47.14940641698195,47.14940641698195,47.14940641698195,47.14940641698195,47.14940641698195,47.64516200000071,47.64516200000071,47.66974300000584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
1,0.2,0.8,-0.6,-6,left,right,up,down,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.12583312499919,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,49.51733379199868,left,0,0.3253151240060106,49.869264000008116,49.869264000008116,49.869264000008116,49.869264000008116,49.869264000008116,49.869264000008116,49.869264000008116,49.869264000008116,50.354335874988465,50.354335874988465,50.38019691698719,51.84320375000243,51.84320375000243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.877434958994854,51.877434958994854,51.877434958994854,0.012339625012828037,51.877434958994854,51.877434958994854,1.0,1.6045106670062523,"[0.0274949083503055, 0.390020366598778]","[-0.01120162932790224, -0.2973523421588595]","[1, 1]","[0, 0]","[0, 0]","[1.53052729202318, 2.226621583016822]",['validate'],None,None,54.087432875006925,54.087432875006925,space,1.1105557499977294,,,,,,,,,,,,896414,001,A,2023-04-14_14h42.28.167,vb_task_exp_1,2022.2.5,None,
