Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,question_mark_training.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_4.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.460584790998837,23.460584790998837,23.460584790998837,23.460584790998837,23.460584790998837,23.460584790998837,23.460584790998837,23.460584790998837,0.003059749993553851,47.66808991599828,3.0,8.13704079099989,1.0,16.119471375001012,1.0,18.80195320799976,1.9984446691033517,24.238382915995317,0.05132591958939264,-0.4067579127459367,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.86041616599687,48.86041616599687,space,6.287438750005094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.19100837499718,55.19100837499718,space,5.448466792004183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.67177699999593,60.67177699999593,space,89.82019737500377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,150.51048674999765,space,93.44473075000133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,283.3837381659978,space,41.265013416996226,243.97259587499866,245.99651008300134,245.99651008300134,270.76688241599913,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,271.04148108299705,273.0208904579995,right,0,2.087237625004491,273.1702402910014,273.1702402910014,273.1702402910014,273.1702402910014,273.1702402910014,273.1702402910014,273.1702402910014,273.1702402910014,273.66506474999915,273.66506474999915,273.6971020829951,275.13544991600065,275.13544991600065,275.2007067079976,275.2007067079976,275.2007067079976,0.015163709002081305,275.2007067079976,275.2007067079976,None,None,"[0.0504704875962361, 0.43627031650983744]","[-0.29555175363558595, -0.2887082976903336]","[1, 1]","[0, 0]","[0, 0]","[3.037804125000548, 4.333087625003827]",['validate'],1,3.1715661249982077,279.49398537499656,279.49398537499656,space,1.880165875001694,281.3858219159956,283.3837381659978,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.67709579099756,326.68778604100225,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,327.0119542079992,328.98479566600145,right,0,2.0581224580018898,329.1072863329973,329.1072863329973,329.1072863329973,329.1072863329973,329.1072863329973,329.1072863329973,329.1072863329973,329.1072863329973,329.59284437500173,329.59284437500173,329.62495054100145,331.06294974999764,331.06294974999764,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.07794404099695,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,331.4419443329971,,right,0,1.2207970000017667,332.6930744159981,332.6930744159981,332.6930744159981,332.6930744159981,332.6930744159981,332.6930744159981,332.6930744159981,332.6930744159981,333.18776916599745,333.18776916599745,333.2198258749995,334.65348970799823,334.65348970799823,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.66917300000205,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,335.00140916599776,,left,0,0.6698948340053903,335.7104869159957,335.7104869159957,335.7104869159957,335.7104869159957,335.7104869159957,335.7104869159957,335.7104869159957,335.7104869159957,336.20122224999795,336.20122224999795,336.2318993329973,,,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
3,0.2,0.8,-0.6,-6,left,right,down,up,"(-0.2,-0.1)","(0.2,-0.1)","(0,-0.3)","(0,0.1)","(-0.2,0.0)","(0.2,0.0)","(0.0, -0.2)","(0.0, 0.2)",,,,,,,,,0,0,0,2,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.6937066249957,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,338.04726854099863,,left,0,0.254906458001642,338.33429016599985,338.33429016599985,338.33429016599985,338.33429016599985,338.33429016599985,338.33429016599985,338.33429016599985,338.33429016599985,338.8290718329954,338.8290718329954,338.861245166001,340.29760866599827,340.29760866599827,,,,,,,,,,,,,,,,,,,,,,,,,930202,001,B,2023-07-04_16h22.20.879,vb_task_exp_1,2022.2.5,None,
