Condition,bern_param_play,bern_param_not_play,dP,impact,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,image_avec_training.started,image_sans_training.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,image_avec_outcome_training.started,image_sans_outcome_training.started,cross_outcome_training.started,joueur_feedback.started,image_outcome_training.started,text_resultat.started,cross_outcome_training.stopped,image_outcome_training.stopped,text_resultat.stopped,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,text_question_trial23.started,text_numero_joueur.started,cross_fixation.started,image_avec_cues_23.started,image_sans_cues_23.started,image_domicile_cues_23.started,image_exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_feedback23.started,exterieur_feedback23.started,text_question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_feedback23.started,sans_feedback23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,image_outcome3.stopped,resultat3_outcome.stopped,outcome3_var.routineEndVal,text_instr_12.started,key_resp_12.started,key_resp_12.keys,key_resp_12.rt,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.655234584002756,13.655234584002756,space,1.68849220899574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.411345166998217,15.411345166998217,space,0.2910895840032026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.721666541998275,15.721666541998275,space,0.4557163749996107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,16.197859416992287,space,31.90575908300525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.114577999993344,50.129637958991225,50.129637958991225,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,50.463311999992584,left,0,0.40241283299110364,50.9066241249966,50.9066241249966,50.9066241249966,50.9066241249966,50.9066241249966,50.9066241249966,50.9066241249966,50.9066241249966,51.39023512499989,51.39023512499989,51.41576408399851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.88031154200144,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,53.2046591249964,right,0,0.7567340419918764,53.98945616699348,53.98945616699348,53.98945616699348,53.98945616699348,53.98945616699348,53.98945616699348,53.98945616699348,53.98945616699348,54.47976699999708,54.47976699999708,54.505555249998,55.95423012498941,55.95423012498941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.97789858399483,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,56.32346304199018,left,0,0.3127871670003515,56.66624824999599,56.66624824999599,56.66624824999599,56.66624824999599,56.66624824999599,56.66624824999599,56.66624824999599,56.66624824999599,57.16218937499798,57.16218937499798,57.18752270899131,58.634930333995726,58.634930333995726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.64277474999835,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,58.97763137498987,right,0,0.27041745799942873,59.28036804198928,59.28036804198928,59.28036804198928,59.28036804198928,59.28036804198928,59.28036804198928,59.28036804198928,59.28036804198928,59.76936374999059,59.76936374999059,59.7935355840018,61.24243616699823,61.24243616699823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.26687712500279,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,61.605221916994196,left,0,0.2581510839954717,61.89675149999675,61.89675149999675,61.89675149999675,61.89675149999675,61.89675149999675,61.89675149999675,61.89675149999675,61.89675149999675,62.39049704199715,62.39049704199715,62.41571712499717,63.8654938339896,63.8654938339896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
2,0.4,0.8,-0.4,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.90848929199274,63.90848929199274,63.90848929199274,0.0028181249945191666,63.90848929199274,63.90848929199274,0.0,3.6169347910035867,"[0.08961303462321792, 0.003054989816700611, -0.0560081466395112, -0.04378818737270876, 0.43584521384928715]","[-0.0050916496945010185, 0.004073319755600814, -0.31873727087576376, -0.3054989816700611, -0.3044806517311609]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[2.3565745829982916, 3.5250860000087414, 4.883786541002337, 5.421061541012023, 6.632665041004657]",['validate'],0.06211812627291241,5.505655083004967,70.5098487919895,70.5098487919895,space,2.6979425829922548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963213,001,A,2023-04-11_13h27.25.100,vb_task_exp_1,2022.2.5,None,
