Condition,bern_param_play,bern_param_not_play,dP,impact,avec_key,sans_key,dom_key,ext_key,avec_pos_text,sans_pos_text,dom_pos_text,ext_pos_text,avec_pos_image,sans_pos_image,dom_pos_image,ext_pos_image,text_instruction,is_task_obs,bern_param_left_down,bern_param_left_up,bern_param_right_down,bern_param_right_up,bern_param_z,bern_param_up,bern_param_down,trainingRun.thisRepN,trainingRun.thisTrialN,trainingRun.thisN,trainingRun.thisIndex,trainingBlocks.thisRepN,trainingBlocks.thisTrialN,trainingBlocks.thisN,trainingBlocks.thisIndex,firstRun.thisRepN,firstRun.thisTrialN,firstRun.thisN,firstRun.thisIndex,firstBlocks.thisRepN,firstBlocks.thisTrialN,firstBlocks.thisN,firstBlocks.thisIndex,loop_exps23.thisRepN,loop_exps23.thisTrialN,loop_exps23.thisN,loop_exps23.thisIndex,innerRun.thisRepN,innerRun.thisTrialN,innerRun.thisN,innerRun.thisIndex,innerBlocks.thisRepN,innerBlocks.thisTrialN,innerBlocks.thisN,innerBlocks.thisIndex,age.started,respAge.started,gender.started,genderResp1.started,student.started,studentResp.started,mood.started,moodResp.started,mouse.started,nextButton.started,respAge.response,respAge.rt,genderResp1.response,genderResp1.rt,studentResp.response,studentResp.rt,moodResp.response,moodResp.rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_instr_2.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_instr_3.started,key_resp_7.started,key_resp_7.keys,key_resp_7.rt,text_instr_13.started,key_resp_8.started,image_avec.started,image_sans.started,image_victoire.started,image_defaite.started,text_avec.started,text_sans.started,text_victoire.started,text_defaite.started,key_resp_8.keys,key_resp_8.rt,text_3.started,text_3.stopped,text_4.started,cross.started,cross.stopped,key_resp_training.started,avec_training.started,sans_training.started,nombre_match_training.started,text_question.started,cross_training.started,avec_cues.started,sans_cues.started,joueur.started,key_resp_training.keys,key_resp_training.corr,key_resp_training.rt,text_question_outcome.started,nombre_match_training_outcome.started,text_avec_fb.started,text_sans_fb.started,avec_feedback.started,sans_feedback.started,cross_outcome_training.started,joueur_feedback.started,outcome_feedback.started,text_resultat.started,cross_outcome_training.stopped,outcome_feedback.stopped,text_resultat.stopped,question_mark_training.started,attractiveness.started,text_question_1.started,validate.started,mouse_15.started,slider_recommandation.started,text_recommandation.started,attractiveness.response,attractiveness.rt,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.time,mouse_15.clicked_name,slider_recommandation.response,slider_recommandation.rt,text.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,text_2.started,text_2.stopped,text_instr_11.started,key_resp_11.started,avec_inst_23.started,sans_instr_23.started,domicile_instr_23.started,exterieur_instr_23.started,avec_instr_23.started,sans_inst_23.started,domicile_inst_23.started,exterieur_inst_23.started,key_resp_11.keys,key_resp_11.rt,observation_var.routineStartVal,key_resp_3.started,avec3.started,sans3.started,domicile3.started,exterieur3.started,observation.started,text_nombre_matchs_third.started,question_trial23.started,numero_joueur_cues_23.started,cross_fixation.started,avec_cues_23.started,sans_cues_23.started,domicile_cues_23.started,exterieur_cues_23.started,question_mark3.started,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,observation_var.routineEndVal,fb_text_choice_component.started,nombre_matchs_third_outcome.started,avec3_outcome.started,sans3_outcome.started,domicile3_outcome.started,exterieur3_outcome.started,domicile_image23.started,exterieur_image23.started,question_outcome23.started,text_joueur_numero.started,cross_feedback23.started,avec_image23.started,sans_image23.started,image_outcome3.started,resultat3_outcome.started,cross_feedback23.stopped,outcome3_var.routineEndVal,image_outcome3.stopped,resultat3_outcome.stopped,participant,session,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.282470250000188,23.282470250000188,23.282470250000188,23.282470250000188,23.282470250000188,23.282470250000188,23.282470250000188,23.282470250000188,0.0030272500007413328,29.999815292001585,4.0,3.383518290997017,2.0,4.877622291998705,2.0,6.01555958300014,1.9860020219301657,6.74435524999717,0.023952095808383235,-0.3973481608212147,1,0,0,nextButton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.44928895799967,30.44928895799967,space,0.8979192920014611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.37974750000285,31.37974750000285,space,0.1556784170024912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.549500500004797,31.549500500004797,space,0.13070733299537096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,31.700351375002356,space,0.23259504199813819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,59.20392866700422,space,1.1603335840045474,31.953054375000647,33.966546250005194,33.966546250005194,51.66512712500116,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,51.96394287500152,right,0,0.6268112089965143,52.63566258300125,52.63566258300125,52.63566258300125,52.63566258300125,52.63566258300125,52.63566258300125,52.63566258300125,52.63566258300125,53.12646037500235,53.12646037500235,53.15784420800628,54.60875562500587,54.60875562500587,49.394840542001475,54.67111108300014,54.67111108300014,54.67111108300014,0.015194208004686516,54.67111108300014,54.67111108300014,0.0,0.9661677089970908,"[-0.00427715996578272, 0.04020530367835757, 0.3661248930710009]","[-0.0012831479897348161, -0.286142001710864, -0.2998289136013687]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0.8675587079997058, 1.461320957998396, 1.9536307079979451]",['validate'],0.9020530367835757,1.5689047080013552,56.584103125002,56.584103125002,space,0.5978443330022856,57.20101358300599,59.20392866700422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.39699054200173,62.3948442500041,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,62.707999042002484,right,0,0.562807292000798,63.310908083003596,63.310908083003596,63.310908083003596,63.310908083003596,63.310908083003596,63.310908083003596,63.310908083003596,63.310908083003596,63.791753333003726,63.791753333003726,63.855076333005854,65.2732287079998,65.2732287079998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.28158450000046,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,65.6185683750009,right,0,0.8137991250041523,66.46354375000374,66.46354375000374,66.46354375000374,66.46354375000374,66.46354375000374,66.46354375000374,66.46354375000374,66.46354375000374,66.95432875000552,66.95432875000552,66.98580275000131,68.43693512500613,68.43693512500613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
2,0.2,0.8,-0.6,-6,right,left,up,down,"(0.2,-0.1)","(-0.2,-0.1)","(0,0.1)","(0,-0.3)","(0.2,0.0)","(-0.2,0.0)","(0.0, 0.2)","(0.0,-0.2)",,,,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.44117529200594,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,68.78235629200208,right,0,0.4048789169974043,69.22083762500552,69.22083762500552,69.22083762500552,69.22083762500552,69.22083762500552,69.22083762500552,69.22083762500552,69.22083762500552,69.71733900000254,69.71733900000254,69.74897791699914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.23288995800249,71.23288995800249,71.23288995800249,0.013553666998632252,71.23288995800249,71.23288995800249,0.0,3.2558427910043974,"[-0.000855431993156544, 0.04020530367835757, 0.39863130881094955]","[0.000427715996578272, -0.29897348160821213, -0.3006843455945252]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[3.1835664169993834, 4.069884917000309, 4.822831292003684]",['validate'],0.9020530367835757,4.203427833002934,76.03489000000263,76.03489000000263,space,6.745452542003477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987687,001,A,2023-07-05_17h30.44.606,vb_task_exp_1,2022.2.5,None,
